[2025-09-21 16:55:23.989] [INFO ] [T007] [FileSyncService] 获取FastCopy并发许可，开始复制: C1715.MP4
[2025-09-21 16:55:24.113] [WARN ] [T004] [FileSyncService] 文件写入未完成，跳过同步: Ibanez A
[2025-09-21 16:55:24.113] [WARN ] [T021] [FileSyncService] 文件写入未完成，跳过同步: Ibanez A
[2025-09-21 16:55:24.113] [WARN ] [T007] [FileSyncService] 文件写入未完成，跳过同步: 主机位
[2025-09-21 16:55:26.807] [INFO ] [T017] [FileSyncService] 释放FastCopy并发许可: C1715.MP4
[2025-09-21 16:55:26.807] [INFO ] [T017] [FileSyncService] 文件处理完成，清理锁: C1715.MP4
[2025-09-21 16:55:26.899] [INFO ] [T008] [FileSyncService] 释放FastCopy并发许可: C1715.MP4
[2025-09-21 16:55:27.115] [INFO ] [T021] [FileSyncService] 文件写入已完成，准备同步: C1716.MP4
[2025-09-21 16:55:27.116] [INFO ] [T017] [FileSyncService] 获取FastCopy并发许可，开始复制: C1716.MP4
[2025-09-21 16:55:27.149] [INFO ] [T010] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1717.MP4
[2025-09-21 16:55:27.203] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: 主机位
[2025-09-21 16:55:27.206] [INFO ] [T020] [FileSyncService] 检测到文件变化，等待写入完成: C1718.MP4
[2025-09-21 16:55:27.206] [INFO ] [T010] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1718.MP4
[2025-09-21 16:55:29.532] [INFO ] [T004] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1718.MP4
[2025-09-21 16:55:29.539] [INFO ] [T004] [FileSyncService] 文件已在处理队列中，跳过重复事件: 主机位
[2025-09-21 16:55:29.542] [INFO ] [T019] [FileSyncService] 检测到文件变化，等待写入完成: C1719.MP4
[2025-09-21 16:55:29.542] [INFO ] [T010] [FileSyncService] 检测到文件变化，等待写入完成: C1719.MP4
[2025-09-21 16:55:29.927] [INFO ] [T010] [FileSyncService] 释放FastCopy并发许可: C1716.MP4
[2025-09-21 16:55:29.928] [INFO ] [T010] [FileSyncService] 文件处理完成，清理锁: C1716.MP4
[2025-09-21 16:55:30.865] [INFO ] [T007] [FileSyncService] 文件写入已完成，准备同步: C1717.MP4
[2025-09-21 16:55:30.865] [INFO ] [T004] [FileSyncService] 获取FastCopy并发许可，开始复制: C1717.MP4
[2025-09-21 16:55:31.401] [INFO ] [T017] [FileSyncService] 文件已在处理队列中，跳过重复事件: C1719.MP4
